animal_id,animal_name,latin_name,also_known_as,category,conservation_status,prey,name_of_young,group_behaviour,fun_fact,estimated_pop_size,biggest_threat,distinctive_feature,habitat,diet,predators/enemies,lifestyle,species_no,location,skin_type,top_speed_km/h,lifespan,weight,length/height,wingspan,danger,value
1,Alligator,Alligator,Gator,Reptile,Least Concern,"Fish, Snakes, Turtles",Hatchling,Solitary,Alligators have two sets of eyelids,1 million,Water pollution,Muscular tail half its body length,"Marsh, Swampland",Carnivore,"Hunters, Birds, Raccoon",Diurnal,2 species,"USA, China",Scales,24 km/h,30 to 60 years,180 to 360kg,2.5cm to 4.5m in length,-,Yes,6
2,Alpaca,Vicunga pacos,Vicugna,Mammal,Least Concern,"Grass, Leaves, Bark",Cria,Herd,Ancient incas first domesticated the alpaca 6000 years ago,3 million,Habitat loss,Thick hypoallergenic fleece,Farm,Herbivore,"Human, Lion, Bear",Diurnal,1 species,South America,Fur,56 km/h,15 to 20 years,48 to 84kg,81 to 99cm tall,-,No,4
3,Armadillo,Dasypus,-,Mammal,Endangered,"Insects, Ants, Termites",Young,Solitary,Armadillos are naturally susceptible to some human diseases,not known,Habitat loss,Shell that's armour plated,"Forest, Grassland",Omnivore,"Bear, Wolf, Coyote",Diurnal,7 species,Americas,Boney Plates,48 km/h,4 to 12 years,4 to 30kg,36 to 75cm in length,-,Disease carrier,6
4,Beaver,Castor,-,Mammal,Least Concern,"Tree Bark, Willow, Water Lilly",Young,Solitary,"Beavers can build a dam out of sticks, twigs and leaves",15 million,Habitat loss,"Transparent eyelids, flat tail","Arid Forest, Desert",Herbivore,"Wolf, Bear, Lynx",Nocturnal,2 species,"North America, Europe",Fur,55 km/h,15 to 20 years,16 to 27kg,80cm to 1.2m in length,-,Yes,3
5,Bee,Antrophila,-,Insect,Least Concern,"Nectar, Pollen, Honey",Larvae,Colony,A bee produces a teaspoon of honey in their lifetime,Endemic,Pesticides,Black and yellow colours,"Quiet Forests, Pastures",Herbivore,"Bats, Frogs, Skunks",Diurnal,"16,000 species",Worldwide,Hair,2 km/h,up to 1 month,up to 113mg,up to 39mm in length,11 to 34mm,If provoked,2
6,Bison,Bison bison,American Bison,Mammal,Near Threatened,"Grass, Acorns, Berries",Calf,Herd,Bison are the official national mammal of the united states,"500,000",Hunting,"Huge head, a shoulder hump","Grass Plains, Forest",Herbivore,"Human, Bear, Wolves",Diurnal,3 subspecies,North America,Hair,65 km/h,15 to 20 years,1 to 1.3 tonnes,2 to 2.7m in length,-,Absolutely,6
7,Black Rat Snake,Pantherophis obsoletus,Black Snake,Reptile,Least Concern,"Mice, Voles, Rats",Hatchling,Solitary,Black rat snakes are one of the longest snakes in America,not known,Habitat loss,Shiny black scales on its back,"Rocky Hillsides, Flat Farmland",Carnivore,"Birds of Prey, Mammals",Diurnal,1 species,North America,Scales,5 km/h,10 to 15 years,500g to 2.2kg,106 to 183cm in length,-,No,4
8,Bottlenose Dolphin,Tursiops,-,Mammal,Least Concern,"Fish, Shrimp, Seed",Calf,Pod,Bottlenose dolphins have learnt how to hunt with humans,"600,000",Pollution,"Large dorsal fins, can whistle","Warm Harbours, Bays",Omnivore,"Human, Sharks, Killer Whale",Diurnal,3 species,Worldwide,Smooth,34 km/h,20 to 35 years,200 to 300kg,2.5 to 4m in length,-,Yes,6
9,Brown Bear,Ursus arctos,-,Mammal,Least Concern,"Fish, Fruit, Insects",Cub,Solitary,"Before hibernation, brown bears eat up to 40kg a day","200,000",Habitat loss,"Powerful forearms, brown fur","Forest, Mountainous Regions",Omnivore,"Hunters, Wolf, Cougar",Diurnal,15 subspecies,"North America, Europe, Asia",Fur,56 km/h,20 to 30 years,136 to 390kg,1.5 to 2.8m tall,-,Yes,4
10,Buffalo,Syncerus caffer,Cape Buffalo,Mammal,Near Threatened,"Grass, Shrubs, Leaves",Calf,Herd,Buffalo herds vote to decide which direction to move next,"900,000",Habitat loss,Large sideways curved horns,"Woodland, Grass Pastures",Herbivore,"Human, Lion, Crocodile",Diurnal,5 subspecies,Sub-Saharan Desert,Hair,35 km/h,15 to 22 years,600 to 907kg,1.7 to 1.8 in length,-,Absolutely,6
